sample_id,predicted_cell_type,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,Meiotic prophase fetal germ cell,PAGE-5,PAGE2,1730,1,0.0005780346820809249,-0.00633389916185867
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),PAGE-5,PAGE2,598,0,0.0,-0.012121252486995663
mtab_tumors,Neutrophil,PAGE-5,PAGE2,515,0,0.0,-0.012121252486995663
mtab_tumors,Granulosa cell,PAGE-5,PAGE2,198,0,0.0,-0.01212125248699566
mtab_tumors,Fibroblast,PAGE-5,PAGE2,1260,0,0.0,-0.012121252486995662
mtab_tumors,Endothelial cell,PAGE-5,PAGE2,519,1,0.0019267822736030828,0.0071699252634609785
mtab_tumors,Myeloid cell,PAGE-5,PAGE2,639,1,0.001564945226917058,0.003547168878398703
mtab_tumors,Progenitor cell,PAGE-5,PAGE2,237,0,0.0,-0.012121252486995662
mtab_tumors,Epithelial cell,PAGE-5,PAGE2,1431,0,0.0,-0.012121252486995663
mtab_tumors,Natural killer cell,PAGE-5,PAGE2,1427,0,0.0,-0.012121252486995663
mtab_tumors,Cycling cell,PAGE-5,PAGE2,351,0,0.0,-0.012121252486995662
mtab_tumors,Pre-tubular aggregate cell,PAGE-5,PAGE2,1809,0,0.0,-0.012121252486995662
mtab_tumors,Granulocyte,PAGE-5,PAGE2,2271,0,0.0,-0.012121252486995662
mtab_tumors,Proliferative cell,SPANX,SPANXB1,2062,1,0.00048496605237633366,-0.026623851840558703
mtab_tumors,Pericyte,SPANX,SPANXB1,1216,1,0.0008223684210526315,-0.023239203763704926
mtab_tumors,Columnar epithelial cell,SPANX,SPANXB1,1701,2,0.0011757789535567313,-0.019693969970970435
mtab_tumors,Meiotic prophase fetal germ cell,SPANX,SPANXB1,1730,2,0.0011560693641618498,-0.019891686495909725
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),SPANX,SPANXB1,598,1,0.0016722408026755853,-0.014713718500170829
mtab_tumors,Neutrophil,SPANX,SPANXB1,515,0,0.0,-0.031488783355279985
mtab_tumors,Granulosa cell,SPANX,SPANXB1,198,0,0.0,-0.03148878335527999
mtab_tumors,Fibroblast,SPANX,SPANXB1,1260,8,0.006349206349206349,0.032203208919991615
mtab_tumors,Endothelial cell,SPANX,SPANXB1,519,2,0.0038535645472061657,0.007168206175954225
mtab_tumors,Myeloid cell,SPANX,SPANXB1,639,2,0.003129890453834116,-9.132237451229686e-05
mtab_tumors,Progenitor cell,SPANX,SPANXB1,237,0,0.0,-0.03148878335527999
mtab_tumors,Epithelial cell,SPANX,SPANXB1,1431,1,0.0006988120195667365,-0.02447865841932242
mtab_tumors,Natural killer cell,SPANX,SPANXB1,1427,0,0.0,-0.031488783355279985
mtab_tumors,Cycling cell,SPANX,SPANXB1,351,0,0.0,-0.03148878335527999
mtab_tumors,Pre-tubular aggregate cell,SPANX,SPANXB1,1809,3,0.001658374792703151,-0.014852815223679195
mtab_tumors,Granulocyte,SPANX,SPANXB1,2271,0,0.0,-0.031488783355279985
mtab_tumors,Proliferative cell,TEX15,TEX15,2062,43,0.020853540252182348,-0.11435675704736664
mtab_tumors,Pericyte,TEX15,TEX15,1216,1,0.0008223684210526315,-0.1846407713407148
mtab_tumors,Columnar epithelial cell,TEX15,TEX15,1701,22,0.012933568489124045,-0.13109875132867774
mtab_tumors,Meiotic prophase fetal germ cell,TEX15,TEX15,1730,177,0.1023121387283237,0.3441392711085114
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),TEX15,TEX15,598,9,0.015050167224080268,-0.12696383443487905
mtab_tumors,Neutrophil,TEX15,TEX15,515,1,0.001941747572815534,-0.18189670581436837
mtab_tumors,Granulosa cell,TEX15,TEX15,198,1,0.005050505050505051,-0.16829376380920782
mtab_tumors,Fibroblast,TEX15,TEX15,1260,3,0.002380952380952381,-0.1805968347979839
mtab_tumors,Endothelial cell,TEX15,TEX15,519,9,0.017341040462427744,-0.11415679232538785
mtab_tumors,Myeloid cell,TEX15,TEX15,639,3,0.004694835680751174,-0.1721171657727856
mtab_tumors,Progenitor cell,TEX15,TEX15,237,0,0.0,-0.1885859557213668
mtab_tumors,Epithelial cell,TEX15,TEX15,1431,60,0.041928721174004195,-0.02072491187193916
mtab_tumors,Natural killer cell,TEX15,TEX15,1427,132,0.09250175192711983,0.20539802785380473
mtab_tumors,Cycling cell,TEX15,TEX15,351,16,0.045584045584045586,-0.029529439066159003
mtab_tumors,Pre-tubular aggregate cell,TEX15,TEX15,1809,30,0.01658374792703151,-0.1270517832808841
mtab_tumors,Granulocyte,TEX15,TEX15,2271,191,0.0841039189784236,0.30911055798585985
mtab_tumors,Proliferative cell,TMEFF,TMEFF2,2062,45,0.021823472356935016,-0.10142833058312771
mtab_tumors,Pericyte,TMEFF,TMEFF2,1216,0,0.0,-0.18220501048571713
mtab_tumors,Columnar epithelial cell,TMEFF,TMEFF2,1701,34,0.019988242210464434,-0.10363394338698034
mtab_tumors,Meiotic prophase fetal germ cell,TMEFF,TMEFF2,1730,207,0.11965317919075144,0.3650304923777186
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),TMEFF,TMEFF2,598,2,0.0033444816053511705,-0.1715378872260053
