sample_id,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,TMEFF,TMEFF2,17964,657,0.03657314629258517,-0.0005730798292504433
mtab_tumors,TMEM108,TMEM108,17964,0,0.0,0.0
mtab_tumors,TMPRSS12,TMPRSS12,17964,0,0.0,0.0
mtab_tumors,TPPP2,TPPP2,17964,0,0.0,0.0
mtab_tumors,TPTE,TPTE,17964,0,0.0,0.0
mtab_tumors,TSGA10,TSGA10,17964,0,0.0,0.0
mtab_tumors,TSP50,TSP50,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY1D,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY1E,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY1F,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY1G,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY1H,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY1I,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY2,17964,0,0.0,0.0
mtab_tumors,TSPY1,TSPY3,17964,0,0.0,0.0
mtab_tumors,TSSK6,TSSK6,17964,0,0.0,0.0
mtab_tumors,CT96,TTK,17964,0,0.0,0.0
mtab_tumors,TULP2,TULP2,17964,0,0.0,0.0
mtab_tumors,NA88A pseudogene,VENTXP1,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE-3b,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE1,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE1B,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE1C,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE1D,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE1E,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE2,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE2B,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE3,17964,0,0.0,0.0
mtab_tumors,XAGE,XAGE5,17964,0,0.0,0.0
mtab_tumors,ZNF165,ZNF165,17964,305,0.01697840124693832,-0.006305417244558869
mtab_tumors,ZNF645,ZNF645,17964,0,0.0,0.0
mtab_tumors,cylin A,cyclin A1,17964,0,0.0,0.0
