,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
162,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,VAV3,protein_coding,Both
163,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CCND1,protein_coding,Both
164,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DST,protein_coding,Both
165,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,LIMA1,protein_coding,Both
166,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,LACC1,protein_coding,Both
167,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,FAM135A,protein_coding,Both
168,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ENPP1,protein_coding,Both
169,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,INF2,protein_coding,Both
170,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD93,protein_coding,Both
171,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD59,protein_coding,Both
172,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,HLA-DPA1,protein_coding,Both
173,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,HLA-DQB1,protein_coding,Both
