,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
17038,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TKTL1,TKTL1,protein_coding,Both
17039,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLCD1,TLCD1,protein_coding,Both
17040,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLE1,TLE1,protein_coding,Both
17041,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLE4,TLE4,protein_coding,Both
17042,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,AES,TLE5,protein_coding,Both
17043,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLK2,TLK2,protein_coding,Both
17044,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLN1,TLN1,protein_coding,Both
17045,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,MESDC1,TLNRD1,protein_coding,Both
17046,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM2D1,TM2D1,protein_coding,Both
17047,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM2D3,TM2D3,protein_coding,Both
17048,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM7SF3,TM7SF3,protein_coding,Both
17049,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM9SF2,TM9SF2,protein_coding,Both
17050,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMA16,TMA16,protein_coding,Both
17051,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMA7,TMA7,protein_coding,Both
17052,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMBIM1,TMBIM1,protein_coding,Both
17053,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMBIM4,TMBIM4,protein_coding,Both
17054,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMBIM6,TMBIM6,protein_coding,Both
17055,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMC6,TMC6,protein_coding,Both
17056,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMC8,TMC8,protein_coding,Both
17057,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMCO1,TMCO1,protein_coding,Both
17058,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED1,TMED1,protein_coding,Both
17059,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED10,TMED10,protein_coding,Both
17060,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED2,TMED2,protein_coding,Both
17061,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED3,TMED3,protein_coding,Both
17062,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED4,TMED4,protein_coding,Both
17063,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED9,TMED9,protein_coding,Both
17064,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM101,TMEM101,protein_coding,Both
17065,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM106B,TMEM106B,protein_coding,Both
17066,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM107,TMEM107,protein_coding,Both
17067,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM109,TMEM109,protein_coding,Both
17068,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM119,TMEM119,protein_coding,Both
17069,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM120B,TMEM120B,protein_coding,Both
17070,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM126A,TMEM126A,protein_coding,Both
17071,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM128,TMEM128,protein_coding,Both
17072,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM131,TMEM131,protein_coding,Both
17073,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA0922,TMEM131L,protein_coding,Both
17074,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM134,TMEM134,protein_coding,Both
17075,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM141,TMEM141,protein_coding,Both
17076,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM14B,TMEM14B,protein_coding,Both
17077,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM156,TMEM156,protein_coding,Both
17078,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM160,TMEM160,protein_coding,Both
17079,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM161A,TMEM161A,protein_coding,Both
17080,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM165,TMEM165,protein_coding,Both
17081,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM167A,TMEM167A,protein_coding,Both
17082,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM167B,TMEM167B,protein_coding,Both
17083,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM170A,TMEM170A,protein_coding,Both
17084,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM171,TMEM171,protein_coding,Both
17085,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM175,TMEM175,protein_coding,Both
17086,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM179B,TMEM179B,protein_coding,Both
17087,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM18,TMEM18,protein_coding,Both
17088,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM181,TMEM181,protein_coding,Both
17089,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM184B,TMEM184B,protein_coding,Both
17090,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM185B,TMEM185B,protein_coding,Both
17091,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM204,TMEM204,protein_coding,Both
17092,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM208,TMEM208,protein_coding,Both
17093,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM218,TMEM218,protein_coding,Both
17094,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM222,TMEM222,protein_coding,Both
17095,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM230,TMEM230,protein_coding,Both
17096,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM241,TMEM241,protein_coding,Both
17097,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM243,TMEM243,protein_coding,Both
17098,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM248,TMEM248,protein_coding,Both
17099,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,C9orf69,TMEM250,protein_coding,Both
17100,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM256,TMEM256,protein_coding,Both
17101,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM258,TMEM258,protein_coding,Both
17102,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM263,TMEM263,protein_coding,Both
17103,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM30A,TMEM30A,protein_coding,Both
17104,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM41A,TMEM41A,protein_coding,Both
17105,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM43,TMEM43,protein_coding,Both
17106,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM50A,TMEM50A,protein_coding,Both
17107,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM59,TMEM59,protein_coding,Both
17108,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM63A,TMEM63A,protein_coding,Both
17109,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM64,TMEM64,protein_coding,Both
17110,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM71,TMEM71,protein_coding,Both
17111,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM87A,TMEM87A,protein_coding,Both
17112,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM9B,TMEM9B,protein_coding,Both
17113,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMF1,TMF1,protein_coding,Both
17114,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMIGD2,TMIGD2,protein_coding,Both
17115,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMOD3,TMOD3,protein_coding,Both
17116,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMPO,TMPO,protein_coding,Both
17117,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMPRSS3,TMPRSS3,protein_coding,Both
17118,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMSB10,TMSB10,protein_coding,Both
17119,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMUB1,TMUB1,protein_coding,Both
17120,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMX1,TMX1,protein_coding,Both
17121,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMX2,TMX2,protein_coding,Both
17122,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMX4,TMX4,protein_coding,Both
17123,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFAIP3,TNFAIP3,protein_coding,Both
17124,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFAIP8,TNFAIP8,protein_coding,Both
17125,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFRSF10A,TNFRSF10A,protein_coding,Both
17126,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFRSF14,TNFRSF14,protein_coding,Both
17127,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFRSF18,TNFRSF18,protein_coding,Both
17128,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFRSF1B,TNFRSF1B,protein_coding,Both
17129,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFRSF25,TNFRSF25,protein_coding,Both
17130,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFRSF4,TNFRSF4,protein_coding,Both
17131,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFRSF9,TNFRSF9,protein_coding,Both
17132,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFSF10,TNFSF10,protein_coding,Both
17133,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFSF11,TNFSF11,protein_coding,Both
17134,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFSF12,TNFSF12,protein_coding,Both
17135,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNFSF14,TNFSF14,protein_coding,Both
17136,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNIK,TNIK,protein_coding,Both
17137,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNIP1,TNIP1,protein_coding,Both
17138,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNIP2,TNIP2,protein_coding,Both
17139,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNKS,TNKS,protein_coding,Both
17140,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNKS2,TNKS2,protein_coding,Both
17141,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNRC6A,TNRC6A,protein_coding,Both
17142,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNRC6B,TNRC6B,protein_coding,Both
17143,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TNRC6C,TNRC6C,protein_coding,Both
17144,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOB2,TOB2,protein_coding,Both
17145,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOE1,TOE1,protein_coding,Both
17146,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,FAM179A,TOGARAM2,protein_coding,Both
17147,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOMM20,TOMM20,protein_coding,Both
17148,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOMM22,TOMM22,protein_coding,Both
17149,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOMM5,TOMM5,protein_coding,Both
17150,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOMM7,TOMM7,protein_coding,Both
17151,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TONSL,TONSL,protein_coding,Both
17152,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOP1,TOP1,protein_coding,Both
17153,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOP2B,TOP2B,protein_coding,Both
17154,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOPBP1,TOPBP1,protein_coding,Both
17155,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOPORS,TOPORS,protein_coding,Both
17156,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOR1A,TOR1A,protein_coding,Both
17157,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOR1AIP1,TOR1AIP1,protein_coding,Both
17158,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOR1AIP2,TOR1AIP2,protein_coding,Both
17159,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOR1B,TOR1B,protein_coding,Both
17160,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOR2A,TOR2A,protein_coding,Both
17161,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOX,TOX,protein_coding,Both
17162,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOX2,TOX2,protein_coding,Both
17163,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TOX4,TOX4,protein_coding,Both
17164,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TP53,TP53,protein_coding,Both
17165,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TP53BP1,TP53BP1,protein_coding,Both
17166,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TP53I13,TP53I13,protein_coding,Both
17167,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPD52,TPD52,protein_coding,Both
17168,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPGS1,TPGS1,protein_coding,Both
17169,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPGS2,TPGS2,protein_coding,Both
17170,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPI1,TPI1,protein_coding,Both
17171,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPM3,TPM3,protein_coding,Both
17172,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPM4,TPM4,protein_coding,Both
17173,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPMT,TPMT,protein_coding,Both
17174,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPP2,TPP2,protein_coding,Both
17175,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPR,TPR,protein_coding,Both
17176,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPST1,TPST1,protein_coding,Both
17177,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPST2,TPST2,protein_coding,Both
17178,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPT1,TPT1,protein_coding,Both
17179,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TPTEP1,TPTEP1,transcribed_unprocessed_pseudogene,Both
17180,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRA2A,TRA2A,protein_coding,Both
17181,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRA2B,TRA2B,protein_coding,Both
17182,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRABD,TRABD,protein_coding,Both
17183,Kidney,Kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAC,TRAC,TR_C_gene,Both
17184,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAC,TRAC,TR_C_gene,Both
17185,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRADD,TRADD,protein_coding,Both
17186,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAF1,TRAF1,protein_coding,Both
17187,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAF3,TRAF3,protein_coding,Both
17188,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAF3IP3,TRAF3IP3,protein_coding,Both
17189,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAF4,TRAF4,protein_coding,Both
17190,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAF5,TRAF5,protein_coding,Both
17191,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAM1,TRAM1,protein_coding,Both
17192,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRANK1,TRANK1,protein_coding,Both
17193,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAP1,TRAP1,protein_coding,Both
17194,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC1,TRAPPC1,protein_coding,Both
17195,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC10,TRAPPC10,protein_coding,Both
17196,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC2P1,TRAPPC2,protein_coding,Both
17197,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC2,TRAPPC2,protein_coding,Both
17198,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC2L,TRAPPC2L,protein_coding,Both
17199,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC3,TRAPPC3,protein_coding,Both
17200,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC4,TRAPPC4,protein_coding,Both
17201,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC6A,TRAPPC6A,protein_coding,Both
17202,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAPPC6B,TRAPPC6B,protein_coding,Both
17203,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRAT1,TRAT1,protein_coding,Both
17204,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRBC1,TRBC1,TR_C_gene,Both
17205,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRBC2,TRBC2,TR_C_gene,Both
17206,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRDC,TRDC,TR_C_gene,Both
17207,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRG-AS1,TRG-AS1,lncRNA,Both
17208,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRGC1,TRGC1,TR_C_gene,Both
17209,Kidney,Kidney,Cancer cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRGC2,TRGC2,TR_C_gene,Both
17210,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRGC2,TRGC2,TR_C_gene,Both
17211,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRGV10,TRGV10,TR_V_gene,Both
17212,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRGV9,TRGV9,TR_V_gene,Both
17213,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIB2,TRIB2,protein_coding,Both
17214,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM11,TRIM11,protein_coding,Both
17215,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM14,TRIM14,protein_coding,Both
17216,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM24,TRIM24,protein_coding,Both
17217,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM26,TRIM26,protein_coding,Both
17218,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM27,TRIM27,protein_coding,Both
17219,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM33,TRIM33,protein_coding,Both
17220,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM39,TRIM39,protein_coding,Both
17221,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM44,TRIM44,protein_coding,Both
17222,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM56,TRIM56,protein_coding,Both
17223,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM61,TRIM61,protein_coding,Both
17224,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIM65,TRIM65,protein_coding,Both
17225,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRIP12,TRIP12,protein_coding,Both
17226,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,C19orf43,TRIR,protein_coding,Both
17227,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRMO,TRMO,protein_coding,Both
17228,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRMT10B,TRMT10B,protein_coding,Both
17229,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRMT10C,TRMT10C,protein_coding,Both
17230,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRMT112,TRMT112,protein_coding,Both
17231,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TRMT2A,TRMT2A,protein_coding,Both
