,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
199,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCR10,CCR10,protein_coding,Both
200,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CCR6,CCR6,protein_coding,Both
201,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CCR7,CCR7,protein_coding,Both
202,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CCR7,CCR7,protein_coding,Both
203,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCR7,CCR7,protein_coding,Both
204,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCS,CCS,protein_coding,Both
205,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CCSER1,CCSER1,protein_coding,Both
206,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD14,CD14,protein_coding,Both
207,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,CD14,CD14,protein_coding,Female
208,Peritoneal fluid,Peritoneal fluid,Normal cell,Immune cell,B cell,B cell,CD14,CD14,protein_coding,Both
209,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD180,CD180,protein_coding,Both
210,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
211,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
212,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
213,Blood,Blood,Cancer cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
214,Blood,Venous blood,Normal cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
215,Breast,Breast,Cancer cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Female
216,Breast,Breast,Normal cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Female
217,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CD19,CD19,protein_coding,Both
