,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
148,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAJC10,DNAJC10,protein_coding,Both,,,,,
150,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAJC5B,DNAJC5B,protein_coding,Both,,,,,
152,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAJC9,DNAJC9,protein_coding,Both,,,,,
153,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DNAL1,DNAL1,protein_coding,Both,,,,,
154,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DPAGT1,DPAGT1,protein_coding,Both,,,,,
155,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DPY30,DPY30,protein_coding,Both,,,,,
157,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DRAM2,DRAM2,protein_coding,Both,,,,,
159,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,FCGR2A,FCGR2A,protein_coding,Both,,,,,
164,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DUSP22,DUSP22,protein_coding,Both,,,,,
165,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,WDR34,DYNC2I2,protein_coding,Both,,,,,
166,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,E2F5,E2F5,protein_coding,Both,,,,,
167,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EAF2,EAF2,protein_coding,Both,,,,,
169,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EBF1,EBF1,protein_coding,Both,,,,,
170,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EBLN3,EBLN3P,lncRNA,Both,,,,,
171,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ECE1,ECE1,protein_coding,Both,,,,,
172,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ECSIT,ECSIT,protein_coding,Both,,,,,
174,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EEF1B2,EEF1B2,protein_coding,Both,,,,,
175,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EEF1G,EEF1G,protein_coding,Both,,,,,
176,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,EEF2,EEF2,protein_coding,Both,,,,,
177,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EFHC1,EFHC1,protein_coding,Both,,,,,
178,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EGFL7,EGFL7,protein_coding,Both,,,,,
179,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EGLN1,EGLN1,protein_coding,Both,,,,,
180,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EHHADH,EHHADH,protein_coding,Both,,,,,
181,Blood,Peripheral blood,Normal cell,Immune cell,Aged memory B cell,B cell,FCRL5,FCRL5,protein_coding,Both,,,,,
182,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EHMT1,EHMT1,protein_coding,Both,,,,,
183,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EIF1AY,EIF1AY,protein_coding,Both,,,,,
184,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EIF3F,EIF3F,protein_coding,Both,,,,,
185,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EIF4B,EIF4B,protein_coding,Both,,,,,
186,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,TCEB3,ELOA,protein_coding,Both,,,,,
187,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EMC9,EMC9,protein_coding,Both,,,,,
188,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ENAM,ENAM,protein_coding,Both,,,,,
189,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EPN2,EPN2,protein_coding,Both,,,,,
190,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ERN2,ERN2,protein_coding,Both,,,,,
192,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,ERO1B,ERO1B,protein_coding,Both,,,,,
193,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,ERP29,ERP29,protein_coding,Both,,,,,
194,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EVI2B,EVI2B,protein_coding,Both,,,,,
195,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EXOSC10,EXOSC10,protein_coding,Both,,,,,
196,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,EZR,EZR,protein_coding,Both,,,,,
197,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FA2H,FA2H,protein_coding,Both,,,,,
198,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM111B,FAM111B,protein_coding,Both,,,,,
199,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM177B,FAM177B,protein_coding,Both,,,,,
200,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM27C,FAM27C,lncRNA,Both,,,,,
201,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CCR7,CCR7,protein_coding,Both,,,,,
204,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,KIAA0125,FAM30A,lncRNA,Both,,,,,
205,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FAM3C,FAM3C,protein_coding,Both,,,,,
206,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD14,CD14,protein_coding,Both,,,,,
209,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FBL,FBL,protein_coding,Both,,,,,
223,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD1C,CD1C,protein_coding,Both,,,,,
224,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FBXO3,FBXO3,protein_coding,Both,,,,,
226,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,FCRLA,FCRLA,protein_coding,Both,,,,,
231,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,HLA-A,HLA-A,protein_coding,Both,,,,,
241,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD28,CD28,protein_coding,Both,,,,,
242,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,HLA-DPB1,HLA-DPB1,protein_coding,Both,,,,,
248,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,IGHG2,IGHG2,IG_C_gene,Both,,,,,
256,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD52,CD52,protein_coding,Both,,,,,
259,Kidney,Kidney,Normal cell,Immune cell,Classical B cell,B cell,CD23,FCER2,protein_coding,Both,,,,,
261,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,IL4R,IL4R,protein_coding,Both,,,,,
263,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,ITGB1,ITGB1,protein_coding,Both,,,,,
268,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,IGJ,JCHAIN,protein_coding,Both,,,,,
294,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,LILRA4,LILRA4,protein_coding,Both,,,,,
295,Blood,Peripheral blood,Normal cell,Immune cell,Atypical B cell(ABC),B cell,LILRB2,LILRB2,protein_coding,Both,,,,,
296,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCGR2B,FCGR2B,protein_coding,Both,,,,,
297,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FCHSD2,FCHSD2,protein_coding,Both,,,,,
301,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CD99,CD99,protein_coding,Both,,,,,
302,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CDC20,CDC20,protein_coding,Both,,,,,
303,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCMR,FCMR,protein_coding,Both,,,,,
305,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,FCRL2,FCRL2,protein_coding,Both,,,,,
306,Blood,Blood,Normal cell,Immune cell,B cell,B cell,CDK1,CDK1,protein_coding,Both,,,,,
307,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FFAR1,FFAR1,protein_coding,Both,,,,,
308,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FGB,FGB,protein_coding,Both,,,,,
309,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FGD2,FGD2,protein_coding,Both,,,,,
310,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,FUT8,FUT8,protein_coding,Both,,,,,
