,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
16812,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,SYS1,SYS1,protein_coding,Both,,,,,
16813,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,SYTL1,SYTL1,protein_coding,Both,,,,,
16814,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,SYTL2,SYTL2,protein_coding,Both,,,,,
16815,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,SYTL3,SYTL3,protein_coding,Both,,,,,
16816,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,SZRD1,SZRD1,protein_coding,Both,,,,,
16817,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TACC1,TACC1,protein_coding,Both,,,,,
16818,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TADA3,TADA3,protein_coding,Both,,,,,
16819,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF10,TAF10,protein_coding,Both,,,,,
16820,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF11,TAF11,protein_coding,Both,,,,,
16821,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF12,TAF12,protein_coding,Both,,,,,
16822,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF15,TAF15,protein_coding,Both,,,,,
16823,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF1D,TAF1D,protein_coding,Both,,,,,
16824,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF3,TAF3,protein_coding,Both,,,,,
16825,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF6L,TAF6L,protein_coding,Both,,,,,
16826,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF7,TAF7,protein_coding,Both,,,,,
16827,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAF9,TAF9,protein_coding,Both,,,,,
16828,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAZ,TAFAZZIN,protein_coding,Both,,,,,
16829,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAGAP,TAGAP,protein_coding,Both,,,,,
16830,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAGLN2,TAGLN2,protein_coding,Both,,,,,
16831,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TALDO1,TALDO1,protein_coding,Both,,,,,
16832,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,GRASP,TAMALIN,protein_coding,Both,,,,,
16833,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TANC2,TANC2,protein_coding,Both,,,,,
16834,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TANGO6,TANGO6,protein_coding,Both,,,,,
16835,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TANK,TANK,protein_coding,Both,,,,,
16836,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAOK3,TAOK3,protein_coding,Both,,,,,
16837,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAP1,TAP1,protein_coding,Both,,,,,
16838,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAP2,TAP2,protein_coding,Both,,,,,
16839,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAPBP,TAPBP,protein_coding,Both,,,,,
16840,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAPBPL,TAPBPL,protein_coding,Both,,,,,
16841,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TARDBP,TARDBP,protein_coding,Both,,,,,
16842,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TARS,TARS1,protein_coding,Both,,,,,
16843,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TARS2,TARS2,protein_coding,Both,,,,,
16844,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,FAM208B,TASOR2,protein_coding,Both,,,,,
16845,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TATDN1,TATDN1,protein_coding,Both,,,,,
16846,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TAX1BP1,TAX1BP1,protein_coding,Both,,,,,
16847,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D1,TBC1D1,protein_coding,Both,,,,,
16848,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D10A,TBC1D10A,protein_coding,Both,,,,,
16849,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D10C,TBC1D10C,protein_coding,Both,,,,,
16850,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D19,TBC1D19,protein_coding,Both,,,,,
16851,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D23,TBC1D23,protein_coding,Both,,,,,
16852,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D25,TBC1D25,protein_coding,Both,,,,,
16853,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D2B,TBC1D2B,protein_coding,Both,,,,,
16854,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D31,TBC1D31,protein_coding,Both,,,,,
16855,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBC1D5,TBC1D5,protein_coding,Both,,,,,
16856,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBCA,TBCA,protein_coding,Both,,,,,
16857,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBCB,TBCB,protein_coding,Both,,,,,
16858,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBCC,TBCC,protein_coding,Both,,,,,
16859,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBCD,TBCD,protein_coding,Both,,,,,
16860,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBK1,TBK1,protein_coding,Both,,,,,
16861,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TBPL1,TBPL1,protein_coding,Both,,,,,
16862,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TC2N,TC2N,protein_coding,Both,,,,,
16863,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCAF2,TCAF2,protein_coding,Both,,,,,
16864,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCEA1,TCEA1,protein_coding,Both,,,,,
16865,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCEAL8,TCEAL8,protein_coding,Both,,,,,
16866,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCERG1,TCERG1,protein_coding,Both,,,,,
16867,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCF25,TCF25,protein_coding,Both,,,,,
16868,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCF7,TCF7,protein_coding,Both,,,,,
16869,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCIRG1,TCIRG1,protein_coding,Both,,,,,
16870,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCOF1,TCOF1,protein_coding,Both,,,,,
16871,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCP1,TCP1,protein_coding,Both,,,,,
16872,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCP11L2,TCP11L2,protein_coding,Both,,,,,
16873,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCTA,TCTA,protein_coding,Both,,,,,
16874,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TCTN3,TCTN3,protein_coding,Both,,,,,
16875,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TDG,TDG,protein_coding,Both,,,,,
16876,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TDP1,TDP1,protein_coding,Both,,,,,
16877,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TECR,TECR,protein_coding,Both,,,,,
16878,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TELO2,TELO2,protein_coding,Both,,,,,
16879,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,PAPD5,TENT4B,protein_coding,Both,,,,,
16880,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,FAM46C,TENT5C,protein_coding,Both,,,,,
16881,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TERF1,TERF1,protein_coding,Both,,,,,
16882,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TERF2IP,TERF2IP,protein_coding,Both,,,,,
16883,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TES,TES,protein_coding,Both,,,,,
16884,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TESPA1,TESPA1,protein_coding,Both,,,,,
16885,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TET2,TET2,protein_coding,Both,,,,,
16886,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TEX264,TEX264,protein_coding,Both,,,,,
16887,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TEX30,TEX30,protein_coding,Both,,,,,
16888,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TFAM,TFAM,protein_coding,Both,,,,,
16889,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TFB1M,TFB1M,protein_coding,Both,,,,,
16890,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TFDP1,TFDP1,protein_coding,Both,,,,,
16891,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TFDP2,TFDP2,protein_coding,Both,,,,,
16892,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TFG,TFG,protein_coding,Both,,,,,
16893,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TFIP11,TFIP11,protein_coding,Both,,,,,
16894,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TGFB1,TGFB1,protein_coding,Both,,,,,
16895,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TGFBR3,TGFBR3,protein_coding,Both,,,,,
16896,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TGIF2,TGIF2,protein_coding,Both,,,,,
16897,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TGOLN2,TGOLN2,protein_coding,Both,,,,,
16898,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TGS1,TGS1,protein_coding,Both,,,,,
16899,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THAP1,THAP1,protein_coding,Both,,,,,
16900,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,PRKRIR,THAP12,protein_coding,Both,,,,,
16901,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THAP5,THAP5,protein_coding,Both,,,,,
16902,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THEM4,THEM4,protein_coding,Both,,,,,
16903,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THEM6,THEM6,protein_coding,Both,,,,,
16904,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THEMIS,THEMIS,protein_coding,Both,,,,,
16905,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THEMIS2,THEMIS2,protein_coding,Both,,,,,
16906,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THOC2,THOC2,protein_coding,Both,,,,,
16907,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THOC3,THOC3,protein_coding,Both,,,,,
16908,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THOC5,THOC5,protein_coding,Both,,,,,
16909,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THOC7,THOC7,protein_coding,Both,,,,,
16910,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THRAP3,THRAP3,protein_coding,Both,,,,,
16911,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THUMPD1,THUMPD1,protein_coding,Both,,,,,
16912,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THUMPD3,THUMPD3,protein_coding,Both,,,,,
16913,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THUMPD3-AS1,THUMPD3-AS1,lncRNA,Both,,,,,
16914,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,THYN1,THYN1,protein_coding,Both,,,,,
16915,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIAL1,TIAL1,protein_coding,Both,,,,,
16916,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TICAM1,TICAM1,protein_coding,Both,,,,,
16917,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIE1,TIE1,protein_coding,Both,,,,,
16918,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIFA,TIFA,protein_coding,Both,,,,,
16919,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIGIT,TIGIT,protein_coding,Both,,,,,
16920,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIMM10,TIMM10,protein_coding,Both,,,,,
16921,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIMM13,TIMM13,protein_coding,Both,,,,,
16922,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIMM17A,TIMM17A,protein_coding,Both,,,,,
16923,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIMM17B,TIMM17B,protein_coding,Both,,,,,
16924,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIMM50,TIMM50,protein_coding,Both,,,,,
16925,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIMM8B,TIMM8B,protein_coding,Both,,,,,
16926,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TINF2,TINF2,protein_coding,Both,,,,,
16927,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIPARP,TIPARP,protein_coding,Both,,,,,
16928,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIPARP-AS1,TIPARP-AS1,lncRNA,Both,,,,,
16929,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIPIN,TIPIN,protein_coding,Both,,,,,
16930,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TIPRL,TIPRL,protein_coding,Both,,,,,
16931,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TJAP1,TJAP1,protein_coding,Both,,,,,
16932,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TKT,TKT,protein_coding,Both,,,,,
16933,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TKTL1,TKTL1,protein_coding,Both,,,,,
16934,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLCD1,TLCD1,protein_coding,Both,,,,,
16935,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLE1,TLE1,protein_coding,Both,,,,,
16936,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLE4,TLE4,protein_coding,Both,,,,,
16937,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,AES,TLE5,protein_coding,Both,,,,,
16938,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLK2,TLK2,protein_coding,Both,,,,,
16939,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TLN1,TLN1,protein_coding,Both,,,,,
16940,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,MESDC1,TLNRD1,protein_coding,Both,,,,,
16941,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM2D1,TM2D1,protein_coding,Both,,,,,
16942,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM2D3,TM2D3,protein_coding,Both,,,,,
16943,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM7SF3,TM7SF3,protein_coding,Both,,,,,
16944,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TM9SF2,TM9SF2,protein_coding,Both,,,,,
16945,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMA16,TMA16,protein_coding,Both,,,,,
16946,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMA7,TMA7,protein_coding,Both,,,,,
16947,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMBIM1,TMBIM1,protein_coding,Both,,,,,
16948,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMBIM4,TMBIM4,protein_coding,Both,,,,,
16949,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMBIM6,TMBIM6,protein_coding,Both,,,,,
16950,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMC6,TMC6,protein_coding,Both,,,,,
16951,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMC8,TMC8,protein_coding,Both,,,,,
16952,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMCO1,TMCO1,protein_coding,Both,,,,,
16953,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED1,TMED1,protein_coding,Both,,,,,
16954,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED10,TMED10,protein_coding,Both,,,,,
16955,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED2,TMED2,protein_coding,Both,,,,,
16956,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED3,TMED3,protein_coding,Both,,,,,
16957,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED4,TMED4,protein_coding,Both,,,,,
16958,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMED9,TMED9,protein_coding,Both,,,,,
16959,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM101,TMEM101,protein_coding,Both,,,,,
16960,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM106B,TMEM106B,protein_coding,Both,,,,,
16961,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM107,TMEM107,protein_coding,Both,,,,,
16962,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM109,TMEM109,protein_coding,Both,,,,,
16963,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM119,TMEM119,protein_coding,Both,,,,,
16964,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM120B,TMEM120B,protein_coding,Both,,,,,
16965,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM126A,TMEM126A,protein_coding,Both,,,,,
16967,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM128,TMEM128,protein_coding,Both,,,,,
16968,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM131,TMEM131,protein_coding,Both,,,,,
16969,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA0922,TMEM131L,protein_coding,Both,,,,,
16970,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM134,TMEM134,protein_coding,Both,,,,,
16971,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM141,TMEM141,protein_coding,Both,,,,,
16972,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM14B,TMEM14B,protein_coding,Both,,,,,
16973,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM156,TMEM156,protein_coding,Both,,,,,
16974,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM160,TMEM160,protein_coding,Both,,,,,
16975,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM161A,TMEM161A,protein_coding,Both,,,,,
16976,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM165,TMEM165,protein_coding,Both,,,,,
16977,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM167A,TMEM167A,protein_coding,Both,,,,,
16978,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM167B,TMEM167B,protein_coding,Both,,,,,
16979,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM170A,TMEM170A,protein_coding,Both,,,,,
16980,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM171,TMEM171,protein_coding,Both,,,,,
16981,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM175,TMEM175,protein_coding,Both,,,,,
16982,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM179B,TMEM179B,protein_coding,Both,,,,,
16983,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM18,TMEM18,protein_coding,Both,,,,,
16984,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM181,TMEM181,protein_coding,Both,,,,,
16985,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM184B,TMEM184B,protein_coding,Both,,,,,
16986,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM185B,TMEM185B,protein_coding,Both,,,,,
16987,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM204,TMEM204,protein_coding,Both,,,,,
16988,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM208,TMEM208,protein_coding,Both,,,,,
16989,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM218,TMEM218,protein_coding,Both,,,,,
16990,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM222,TMEM222,protein_coding,Both,,,,,
16991,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM230,TMEM230,protein_coding,Both,,,,,
16992,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM241,TMEM241,protein_coding,Both,,,,,
16993,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM243,TMEM243,protein_coding,Both,,,,,
16994,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM248,TMEM248,protein_coding,Both,,,,,
16995,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,C9orf69,TMEM250,protein_coding,Both,,,,,
