,source,target
910,B cell,RCL1
911,B cell,RCSD1
912,B cell,RCSD1
913,B cell,REPS2
914,B cell,REXO1
915,B cell,RGMB
916,B cell,RHBDD1
917,B cell,RHCG
918,B cell,RHEX
919,B cell,RHOBTB2
920,B cell,RHOH
921,B cell,RIC3
922,B cell,RIC3
923,B cell,RIPOR2
924,B cell,RNASE6
925,B cell,RNASEH2B
926,B cell,RNASET2
927,B cell,RNASET2
928,B cell,RNF170
929,B cell,RNF25
930,B cell,RNGTT
931,B cell,RPL17
932,B cell,RPL22
933,B cell,RPL22L1
934,B cell,RPL22L1
935,B cell,RPS11
936,B cell,RPS13
937,B cell,RRAGC
938,B cell,RRAS2
939,B cell,RUBCNL
940,B cell,RUNDC1
941,B cell,RUVBL1
942,B cell,SAC3D1
943,B cell,SAV1
944,B cell,SC5D
945,B cell,SCAF4
946,B cell,SCARNA2
947,B cell,SCIMP
948,B cell,SCIMP
949,B cell,SCPEP1
950,B cell,SDHB
951,B cell,SEC62
952,B cell,SEL1L3
953,B cell,SEL1L3
954,B cell,SELENBP1
955,B cell,SELENOF
956,B cell,SELL
957,B cell,SELL
958,B cell,SEMA4B
959,B cell,SERTAD2
960,B cell,SESTD1
961,B cell,SETBP1
962,B cell,SETMAR
963,B cell,SETMAR
964,B cell,SGO1
965,B cell,SGSM3
966,B cell,SH2B2
967,B cell,SHISA8
968,B cell,SHISAL2A
969,B cell,SHMT2
970,B cell,SHPRH
971,B cell,SIDT1
972,B cell,SIDT2
973,B cell,SIPA1L3
974,B cell,SIRT3
975,B cell,SLC1A4
976,B cell,SLC22A7
977,B cell,SLC25A32
978,B cell,SLC2A11
979,B cell,SLC2A6
980,B cell,SLC35B2
981,B cell,SLC35F2
982,B cell,SLC37A4
983,B cell,SLC44A1
984,B cell,SLC6A19
985,B cell,SLC7A9
986,B cell,SMARCB1
987,B cell,SMARCB1
988,B cell,SMC6
989,B cell,SMC6
990,B cell,SMCHD1
991,B cell,SMDT1
992,B cell,SMIM14
993,B cell,SMIM14
994,B cell,SNHG19
995,B cell,SNHG32
996,B cell,SNHG7
997,B cell,SNHG7
998,B cell,SNHG8
999,B cell,SNN
1000,B cell,SNRNP70
1001,B cell,SNTA1
1002,B cell,SNX2
1003,B cell,SNX2
